Tweets,sentiment
"Match 23. 4.1: Mohammed Siraj to Riyan Parag 6 runs, Rajasthan Royals 40/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 3.6: Mohd Arshad Khan to Sanju Samson 4 runs, Rajasthan Royals 34/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 3.3: Mohd Arshad Khan to Sanju Samson 6 runs, Rajasthan Royals 28/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 3.2: Mohd Arshad Khan to Sanju Samson 4 runs, Rajasthan Royals 22/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Home side and the home crowd are pumped up 🥳

Mohd. Siraj and Arshad Khan with the early wickets ⚡

They have #RR 2 down for 18 after 3 overs. ✌

Updates ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR https://t.co/TynazIUNMG",-0.027777777777777776
"Match 23. 2.5: Mohammed Siraj to Riyan Parag 6 runs, Rajasthan Royals 18/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. WICKET!  2.2: Nitish Rana 1(3) ct Kulwant Khejroliya b Mohammed Siraj, Rajasthan Royals 12/2 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. WICKET!  1.2: Yashasvi Jaiswal 6(7) ct Rashid Khan b Mohd Arshad Khan, Rajasthan Royals 10/1 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Captivating Knock 🔥

Sai Sudharsan showcased his brilliance with 82(53) 🫡

🔽 Watch | #TATAIPL | #GTvRR",0.5
"Match 23. 0.2: Mohammed Siraj to Yashasvi Jaiswal 4 runs, Rajasthan Royals 5/0 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Most runs by an Indian after 3️⃣0️⃣ innings ✅
Second-most overall ✅
Average of 48+ ✅

You say Consistency, we hear Sai Sudharsan 💙

Scorecard  ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR https://t.co/jJ8XJO3wI6",0.11666666666666665
"Innings Break!

Solid contributions from #GT batters power them to 217/6. 🎯

#RR's chase on the other side ⏳

Scorecard ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR https://t.co/MzhSnPVhJe",-0.0625
"No-look shot from Rashid but Jaiswal saw that coming 🦅

🎥 Yashasvi Jaiswal pulls off a blinder to cut short Rashid Khan's cameo 🩷

Updates ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR | @ybj_19 https://t.co/VwRusWXkX0",0.0
"Match 23. 19.6: Sandeep Sharma to Rahul Tewatia 4 runs, Gujarat Titans 217/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 19.3: Sandeep Sharma to Rahul Tewatia 6 runs, Gujarat Titans 212/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 19.1: Sandeep Sharma to Rahul Tewatia 4 runs, Gujarat Titans 205/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. WICKET!  18.6: Rashid Khan 12(4) ct Yashasvi Jaiswal b Tushar Deshpande, Gujarat Titans 201/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 18.4: Tushar Deshpande to Rashid Khan 4 runs, Gujarat Titans 198/5 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 18.3: Tushar Deshpande to Rashid Khan 6 runs, Gujarat Titans 194/5 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"2⃣ wickets in quick succession for #RR ☝️

Sai Sudharsan continues to lead #GT's cause 🔥

3⃣ overs remaining.

Updates ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR https://t.co/ggCrzNdb9S",0.3333333333333333
